¼øÀ§,ºê·£µå,Á¦Ç°¸í,Ä«Å×°í¸®,ÆòÁ¡,¸®ºä¼ö,°¡°Ý(å÷),¹ß¸ÅÀÏ,url,¾÷·ÎµåÀÏ,»óÇ°ID,ºê·£µå_KR,Á¦Ç°¸í_EN,Ä«Å×°í¸®_EN,¸®ºä¼ö_EN
11,MEDIHEAL(«á«Ç«£«Ò?«ë),«Æ«£?«Ä«ê?«±«¢«½«ê«å?«·«ç«ó «¢«ó«×«ë«Þ«¹«¯JEX,«·?«È«Þ«¹«¯?«Ñ«Ã«¯,5.4,«¯«Á«³«ß4267Ëì,357,2017-05-22,https://www.cosme.net/products/10137757/,2025-02-18 10:03,10137757,¸ÞµðÈú,Tea Tree Care Solution Ampoule Mask JEX,Sheet mask pack,4267 reviews
12,MEDIHEAL(«á«Ç«£«Ò?«ë),N.M.F «¢«¯«¢ «¢«ó«×«ë«Þ«¹«¯JEX,«·?«È«Þ«¹«¯?«Ñ«Ã«¯,5.4,«¯«Á«³«ß4131Ëì,356,2017/5/22 (2018/3/7õÚÊ¥??),https://www.cosme.net/products/10137755/,2025-02-18 10:03,10137755,¸ÞµðÈú,N.M.F Aqua Ampoule Mask JEX,Sheet mask pack,"4,131 reviews"
13,MISSHA£¨«ß«·«ã£©,«ß«·«ã M «¯«Ã«·«ç«ó «Õ«¡«ó«Ç?«·«ç«ó(«â«¤«¹«Á«ã?),«ê«­«Ã«É«Õ«¡«ó«Ç?«·«ç«ó,4.3,«¯«Á«³«ß4090Ëì,1100,2015/4/21 (2018/8/31õÚÊ¥??),https://www.cosme.net/products/10094124/,2025-02-18 10:03,10094124,¹Ì»þ,Misha M Cushion Foundation (Moisture),Liquid foundation,4090 reviews
14,«¤«Ë«¹«Õ«ê?,«Î?«»«Ð«à «ß«Í«é«ë«Ñ«¦«À? N,«ë?«¹«Ñ«¦«À?,5.2,«¯«Á«³«ß4006Ëì,899,2021/7/1 (2023/6/1õÚÊ¥??),https://www.cosme.net/products/10210133/,2025-02-18 10:03,10210133,ÀÌ´Ï½ºÇÁ¸®,No Sebum Mineral Powder N,Loose powder,4006 reviews
15,VT(«Ö«¤«Æ«£?),CICA «¯«ê?«à,«Õ«§«¤«¹«¯«ê?«à,4.9,«¯«Á«³«ß3855Ëì,2730,2020-03-01,https://www.cosme.net/products/10192740/,2025-02-18 10:03,10192740,ºêÀÌÆ¼ÄÚ½º¸ÞÆ½,CICA Cream,Face cream,3855 reviews
16,MISSHA£¨«ß«·«ã£©,BB«¯«ê?«à UV,ìí?ª±ò­ªá?UV«±«¢(äÔéÄ),4.7,«¯«Á«³«ß3420Ëì,2626,2008-04-18,https://www.cosme.net/products/2926413/,2025-02-18 10:03,2926413,¹Ì»þ,BB Cream UV,Sunscreen and UV care (for face),"3,420 reviews"
17,CLIO,«×«í «¢«¤ «Ñ«ì«Ã«È,«Ñ«¦«À?«¢«¤«·«ã«É«¦,5.3,«¯«Á«³«ß3227Ëì,3740,2019/4/12 (2023/3/2õÚÊ¥??),https://www.cosme.net/products/10169275/,2025-02-18 10:03,10169275,Å¬¸®¿À,Pro Eye Palette,Powder eyeshadow,3227 reviews
18,Wonjungyo,«¦«©«ó«¸«ç«ó«è «Ì?«É«¢«¤«é«Ã«·«å,«Þ«¹«««é,5.3,«¯«Á«³«ß3038Ëì,1430,2022/10/14 (2024/3/29õÚÊ¥??),https://www.cosme.net/products/10228908/,2025-02-18 10:03,10228908,Wonjungyo,Wonjeongyo Nude Eyelash,mascara,3038 reviews
19,manyo,«¬«é«¯ «Ê«¤«¢«·«ó2.0«¨«Ã«»«ó«¹,Ú¸é»äû,4.9,«¯«Á«³«ß2920Ëì,3190,2020-04-10,https://www.cosme.net/products/10191382/,2025-02-18 10:03,10191382,¸¶³à°øÀå,Garak Niacin 2.0 Essence,Beauty fluid,2920 reviews
20,LANEIGE(«é«Í?«¸«å),«ê«Ã«×«¹«ê?«Ô«ó«°«Þ«¹«¯,«ê«Ã«×«±«¢?«ê«Ã«×«¯«ê?«à,5.3,«¯«Á«³«ß2907Ëì,2750,2022/9/14 (2025/2/10õÚÊ¥??),https://www.cosme.net/products/10165317/,2025-02-18 10:03,10165317,¶ó³×Áî,Lip Sleeping Mask,Lip care and lip balm,2907 reviews
21,½ºÅ²Çªµå(«¹«­«ó«Õ?«É),«Ö«é«Ã«¯«·«å«¬?«Þ«¹«¯ «¦«©«Ã«·«å«ª«Õ,á©ª¤×µª¹«Ñ«Ã«¯?«Þ«¹«¯,4.9,«¯«Á«³«ß2733Ëì,1760,2009/12/18 (2013/2/20õÚÊ¥??),https://www.cosme.net/products/2895519/,2025-02-18 10:03,2895519,½ºÅ²Çªµå,Black Sugar Mask Wash Off,Washing packs and masks,2733 reviews
22,TIRTIR,MASK FIT TONE UP ESSENCE,ìí?ª±ò­ªá?UV«±«¢(äÔéÄ),5,«¯«Á«³«ß2548Ëì,2970,2022/11/1 (2025/1/22õÚÊ¥??),https://www.cosme.net/products/10230342/,2025-02-18 10:03,10230342,Æ¼¸£Æ¼¸£,MASK FIT TONE UP ESSENCE,Sunscreen and UV care (for face),2548 reviews
23,MISSHA£¨«ß«·«ã£©,M «¯«Ã«·«ç«ó «Õ«¡«ó«Ç?«·«ç«ó(«×«í«««Ð?),«ê«­«Ã«É«Õ«¡«ó«Ç?«·«ç«ó,4.4,«¯«Á«³«ß2245Ëì,1650,2018/8/31 (2025/1/18õÚÊ¥??),https://www.cosme.net/products/10157372/,2025-02-18 10:03,10157372,¹Ì»þ,M Cushion Foundation (Pro Cover),Liquid foundation,2245 reviews
24,COSRX(«³«¹«¢?«ë«¨«Ã«¯«¹),RX«¶?«Ó«¿«ß«óC23«»«é«à,Ú¸é»äû,5,«¯«Á«³«ß2238Ëì,2480,-,https://www.cosme.net/products/10225136/,2025-02-18 10:03,10225136,ÄÚ½º¾Ë¿¢½º,RX the Vitamin C23 Serum,Beauty fluid,"2,238 reviews"
25,Wonjungyo,«¦«©«ó«¸«ç«ó«è «á«¿«ë«·«ã«ï?«Ú«ó«·«ë,«¸«§«ë?«¯«ê?«à«¢«¤«·«ã«É«¦,5.2,«¯«Á«³«ß2178Ëì,1650,2023/3/1 (2024/10/25õÚÊ¥??),https://www.cosme.net/products/10235552/,2025-02-18 10:03,10235552,Wonjungyo,Won Jeongyo Metal Shower Pencil,Gel and cream eyeshadow,"2,178 reviews"
26,«Ê«ó«Ð?«º«¤«ó(numbuzin),5Ûã ÛÜè¬«°«ë«¿«Á«ª«ó£ÃÚ¸é»äû,Ú¸é»äû,5,«¯«Á«³«ß2146Ëì,2420,2023-04-28,https://www.cosme.net/products/10239308/,2025-02-18 10:03,10239308,³Ñ¹öÁîÀÎ,No. 5 Shiratama Glutathione C Beauty Salmon,Beauty fluid,2146 reviews
27,SAM'U,PH«»«ó«·«Æ«£«Ö«¯«ê?«à,«Õ«§«¤«¹«¯«ê?«à,5.3,«¯«Á«³«ß2083Ëì,4950,- (2024/11/10õÚÊ¥??),https://www.cosme.net/products/10189992/,2025-02-18 10:03,10189992,SAM'U,PH Sensitive Cream,Face cream,2083 reviews
28,too cool for school,«¢?«È«¯«é«¹«Ð«¤«í«À«ó«·«§?«Ç«£«ó«°«Þ«¹«¿?,«×«ì«¹«È«Ñ«¦«À?,5.1,«¯«Á«³«ß2081Ëì,2145,2014/7/31 (2024/7/31õÚÊ¥??),https://www.cosme.net/products/10082122/,2025-02-18 10:03,10082122,ÅõÄðÆ÷½ºÄð,Art Class Byrodun Shading Master,Presto powder,2081 reviews
29,Laka,«Õ«ë?«Æ«£?«°«é«à«Æ«£«ó«È,Ï¢ûõ,5.1,«¯«Á«³«ß2039Ëì,1980,2022/8/10 (2022/9/15õÚÊ¥??),https://www.cosme.net/products/10222606/,2025-02-18 10:03,10222606,Laka,Fruity Gram Tint,lipstick,2039 reviews
30,rom&nd,«í«à«¢«ó«É «°«é«¹«Æ«£«ó«°«á«ë«Æ«£«ó«°«Ð?«à,«ê«Ã«×«±«¢?«ê«Ã«×«¯«ê?«à,5.1,«¯«Á«³«ß1956Ëì,1320,2023/3/2 (2023/10/12õÚÊ¥??),https://www.cosme.net/products/10233050/,2025-02-18 10:03,10233050,·Ò¾Ø,ROM & Glasting Melting Balm,Lip care and lip balm,1956 reviews
31,LAGOM(«é«´«à),«¸«§«ë«È«¥«¦«©?«¿? «¯«ì«ó«¶?,ª½ªÎöâá©äÔÖù,5.1,«¯«Á«³«ß1951Ëì,2750,2019-05-28,https://www.cosme.net/products/10171625/,2025-02-18 10:03,10171625,LAGOM,Gel toe water cleanser,Other facial cleansers,1951 reviews
32,rom&nd,«í«à«¢«ó«É «Ï«ó«ª?«ë«Õ«£«Ã«¯«¹«Þ«¹«««é,«Þ«¹«««é,5,«¯«Á«³«ß1937Ëì,1430,2021/11/30 (2023/7/27õÚÊ¥??),https://www.cosme.net/products/10206536/,2025-02-18 10:03,10206536,·Ò¾Ø,ROM & HANS FIXED MASCARA,mascara,1937 reviews
33,manyo,«Ô«å«¢«¯«ì«ó«¸«ó«°«ª«¤«ë,«ª«¤«ë«¯«ì«ó«¸«ó«°,4.8,«¯«Á«³«ß1889Ëì,2530,-,https://www.cosme.net/products/10173734/,2025-02-18 10:03,10173734,¸¶³à°øÀå,Pure Cleansing Oil,Oil cleansing,1889 reviews
34,«Ê«ó«Ð?«º«¤«ó(numbuzin),3Ûã ª¦ªë«Ä«ä?ý£«È«Ê?,ûùíòâ©,5.2,«¯«Á«³«ß1837Ëì,200,2022-01-12,https://www.cosme.net/products/10201907/,2025-02-18 10:03,10201907,³Ñ¹öÁîÀÎ,No. 3: Lubricating Fermented Toner,Lotion,1837 reviews
35,KUNDAL,«¯«ó«À«ëH&M«·«ã«ó«×?£¯«Ø«¢«È«ê?«È«á«ó«È «¤«é«ó«¤«é«óªÎúÅªê,«·«ã«ó«×??«³«ó«Ç«£«·«ç«Ê?,4.8,«¯«Á«³«ß1830Ëì,1650,2020-12-18,https://www.cosme.net/products/10202274/,2025-02-18 10:03,10202274,KUNDAL,Kundal H&M Shampoo/Hair Treatment Ylang Ylang Scent,Shampoo and conditioner,1830 reviews
36,rom&nd,«ê«­«Ã«É«°«ê«Ã«¿?«·«ã«É«¦,«¸«§«ë?«¯«ê?«à«¢«¤«·«ã«É«¦,5.2,«¯«Á«³«ß1815Ëì,1100,- (2023/12/1õÚÊ¥??),https://www.cosme.net/products/10191850/,2025-02-18 10:03,10191850,·Ò¾Ø,Liquid Glitter Shadow,Gel and cream eyeshadow,1815 reviews
37,Torriden («È«ê«Ç«ó),«À«¤«Ö«¤«ó «»«é«à,Ú¸é»äû,5.1,«¯«Á«³«ß1813Ëì,3300,2021-03-01,https://www.cosme.net/products/10202882/,2025-02-18 10:03,10202882,Åä¸®µç,Dive-in Serum,Beauty fluid,1813 reviews
38,VT(«Ö«¤«Æ«£?),CICA «Þ«¤«ë«É«È«Ê?«Ñ«Ã«É,ûùíòâ©,4.8,«¯«Á«³«ß1784Ëì,1815,2021-04-01,https://www.cosme.net/products/10203840/,2025-02-18 10:03,10203840,ºêÀÌÆ¼ÄÚ½º¸ÞÆ½,CICA mild toner pad,Lotion,"1,784 reviews"
39,CNP Laboratory(«·?«¨«Ì«Ô?«é«Ü«é«È«ê?),«×«íP «ß«¹«È,«ß«¹«È?ûùíòâ©,4.9,«¯«Á«³«ß1732Ëì,250,2020-01-02,https://www.cosme.net/products/10177715/,2025-02-18 10:03,10177715,CNP Laboratory,ProP Mist,Mist-like lotion,"1,732 reviews"
40,Dr.G(«É«¯«¿?«¸?),«ì«Ã«É«Ö«ì«ß«Ã«·«å«¯«ê«¢«¹?«¸«ó«°«¯«ê?«à,«Õ«§«¤«¹«¯«ê?«à,5.8,«¯«Á«³«ß1720Ëì,3465,- (2019/10/4õÚÊ¥??),https://www.cosme.net/products/10239262/,2025-02-18 10:03,10239262,´ÚÅÍÁö,Red Blemish Clear Soothing Cream,Face cream,1720 reviews
41,«¤«Ë«¹«Õ«ê?,«Ó«¿C «°«ê?«ó«Æ«£?«¨«ó«¶«¤«à «Ö«é«¤«È «»«é«à,Ú¸é»äû,4.9,«¯«Á«³«ß1704Ëì,3960,2023/6/1 (2024/6/1õÚÊ¥??),https://www.cosme.net/products/10238875/,2025-02-18 10:03,10238875,ÀÌ´Ï½ºÇÁ¸®,Vita C Green Teenzyme Bright Serum,Beauty fluid,1704 reviews
42,VT(«Ö«¤«Æ«£?),«ê?«É«ë«·«ç«Ã«È100,«Ö?«¹«¿??Óôìýäû,5,«¯«Á«³«ß1644Ëì,3520,2023-07-10,https://www.cosme.net/products/10237741/,2025-02-18 10:03,10237741,ºêÀÌÆ¼ÄÚ½º¸ÞÆ½,100 Leadle Shot,Booster/Introducing Fluid,1644 reviews
43,BANILA CO,«¯«ê?«ó«¤«Ã«È«¼«í «¯«ì«ó«¸«ó«°«Ð?«à «ª«ê«¸«Ê«ë,ª½ªÎöâ«¯«ì«ó«¸«ó«°,5.5,«¯«Á«³«ß1628Ëì,180,-,https://www.cosme.net/products/10177957/,2025-02-18 10:03,10177957,¹Ù´Ò¶óÄÚ,Clean It Zero Cleansing Balm Original,Other cleansing,1628 reviews
44,TIRTIR,MASK FIT ALL-COVER CUSHION,«ê«­«Ã«É«Õ«¡«ó«Ç?«·«ç«ó,4.6,«¯«Á«³«ß1598Ëì,2970,-,https://www.cosme.net/products/10211233/,2025-02-18 10:03,10211233,Æ¼¸£Æ¼¸£,MASK FIT ALL-COVER CUSHION,Liquid foundation,1598 reviews
45,fwee(«Õ«£?),«Õ«£? 3D«Ü«ê«å?«ß«ó«°«°«í«¹,«ê«Ã«×«°«í«¹,5.4,«¯«Á«³«ß1558Ëì,1760,2024-07-01,https://www.cosme.net/products/10254107/,2025-02-18 10:03,10254107,fwee,Fee 3D voluminating gloss,Lip gloss,"1,558 reviews"
46,Dr.Jart+,«·«««Ú«¢ «¿«¤«¬?«°«é«¹ CC «È«ê?«È«á«ó«È,«Õ«§«¤«¹«¯«ê?«à,4.6,«¯«Á«³«ß1550Ëì,5390,2020/9/20 (2024/4/19õÚÊ¥??),https://www.cosme.net/products/10195927/,2025-02-18 10:03,10195927,´ÚÅÍÀÚ¸£Æ®,Cicapea Tiger Grass CC Treatment,Face cream,"1,550 reviews"
47,CLIO,«×«í «·«ó«°«ë «·«ã«É«¦,«Ñ«¦«À?«¢«¤«·«ã«É«¦,5,«¯«Á«³«ß1537Ëì,1320,- (2020/3/2õÚÊ¥??),https://www.cosme.net/products/10109376/,2025-02-18 10:03,10109376,Å¬¸®¿À,Pro single shadow,Powder eyeshadow,"1,537 reviews"
48,COSRX(«³«¹«¢?«ë«¨«Ã«¯«¹),RX«¶?6«Ú«×«Á«É«¹«­«ó«Ö?«¹«¿?«»«é«à,«Ö?«¹«¿??Óôìýäû,5.3,«¯«Á«³«ß1534Ëì,2480,2023-12-01,https://www.cosme.net/products/10242663/,2025-02-18 10:03,10242663,ÄÚ½º¾Ë¿¢½º,RX the 6 Peptide Skin Booster Serum,Booster/Introducing Fluid,"1,534 reviews"
49,«¹«Æ«£«é,«ê«Ã«× «°«ì«¤«º,«ê«Ã«×«°«í«¹,3.3,«¯«Á«³«ß1491Ëì,4290,2004-03-19,https://www.cosme.net/products/266606/,2025-02-18 10:03,266606,Stilla,Lip Glaze,Lip gloss,"1,491 reviews"
50,«Ê«ó«Ð?«º«¤«ó(numbuzin),3Ûã «Î?«Õ«¡«ó«ÇÔ¶ÐïÑ¿«È?«ó«¢«Ã«×«¯«ê?«à,ìí?ª±ò­ªá?UV«±«¢(äÔéÄ),5.1,«¯«Á«³«ß1487Ëì,50,2022-04-18,https://www.cosme.net/products/10216003/,2025-02-18 10:03,10216003,³Ñ¹öÁîÀÎ,No. 3: No foundation ceramic skin tone-up cream,Sunscreen and UV care (for face),"1,487 reviews"
51,AESTURA,«¢«È«Ð«ê«¢365 «¯«ê?«à,«Õ«§«¤«¹«¯«ê?«à,5.7,«¯«Á«³«ß1481Ëì,3300,2023-09-01,https://www.cosme.net/products/10192336/,2025-02-18 10:03,10192336,AESTURA,Atbaria 365 Cream,Face cream,"1,481 reviews"
52,fwee(«Õ«£?),«Õ«£? «ê«Ã«×«¢«ó«É«Á?«¯ «Ö«é?«ê?«×«ê«ó«Ý«Ã«È,Ï¢ûõ,5.2,«¯«Á«³«ß1474Ëì,1980,2024-04-22,https://www.cosme.net/products/10251711/,2025-02-18 10:03,10251711,fwee,Fee Lip and Cheek Blurry Plimb Pot,lipstick,"1,474 reviews"
53,Wonjungyo,«¦«©«ó«¸«ç«ó«è £× «Ç«¤«ê?«à?«É«¢«Ã«×«Ñ«ì«Ã«È,«Ñ«¦«À?«¢«¤«·«ã«É«¦,5.3,«¯«Á«³«ß1462Ëì,2420,2022/10/14 (2024/4/20õÚÊ¥??),https://www.cosme.net/products/10228909/,2025-02-18 10:03,10228909,Wonjungyo,Won Jeongyo W Daily Mood Up Palette,Powder eyeshadow,"1,462 reviews"
54,rom&nd,«Ù«¿?«¶«ó«¢«¤«º,«Ñ«¦«À?«¢«¤«·«ã«É«¦,5.1,«¯«Á«³«ß1448Ëì,1870,2020Ò´4êÅ (2021/7/19õÚÊ¥??),https://www.cosme.net/products/10176476/,2025-02-18 10:03,10176476,·Ò¾Ø,Better Than Eyes,Powder eyeshadow,"1,448 reviews"
55,«¤«Ë«¹«Õ«ê?,«Î?«»«Ð«à «ß«Í«é«ë«Ñ«¯«È S,«×«ì«¹«È«Ñ«¦«À?,5,«¯«Á«³«ß1436Ëì,1430,2013/4/8 (2023/6/7õÚÊ¥??),https://www.cosme.net/products/10027372/,2025-02-18 10:03,10027372,ÀÌ´Ï½ºÇÁ¸®,No Sebum Mineral Pact S,Presto powder,"1,436 reviews"
56,«Ê«ó«Ð?«º«¤«ó(numbuzin),2Ûã ª¦ªëªâªÁ65£¥«³«é?«²«ó«·?«È«Þ«¹«¯,«·?«È«Þ«¹«¯?«Ñ«Ã«¯,5,«¯«Á«³«ß1423Ëì,1090,2022/3/31 (2022/11/28õÚÊ¥??),https://www.cosme.net/products/10222192/,2025-02-18 10:03,10222192,³Ñ¹öÁîÀÎ,No. 2 Urumochi 65% Collagen Sheet Mask,Sheet mask pack,"1,423 reviews"
57,SOMEBYMI(«µ«à«Ð«¤«ß?),«ì«Á«Î?«ë«¤«ó«Æ«ó«·«Ö «¢«É«Ð«ó«¹«É«È«ê«×«ë«¢«¯«·«ç«ó«¢«¤«¯«ê?«à,«¢«¤«±«¢?«¢«¤«¯«ê?«à,5.5,«¯«Á«³«ß1409Ëì,2893,-,https://www.cosme.net/products/10219092/,2025-02-18 10:03,10219092,SOMEBYMI,Retinol Intensive Advanced Triple Action Eye Cream,Eye Care Eye Cream,"1,409 reviews"
58,«¤«Ë«¹«Õ«ê?,«¹?«Ñ?«ô«©«ë«««Ë«Ã«¯ «Ý«¢ «¯«ì«¤«Þ«¹«¯,á©ª¤×µª¹«Ñ«Ã«¯?«Þ«¹«¯,4.9,«¯«Á«³«ß1387Ëì,1950,2018/7/1 (2023/6/7õÚÊ¥??),https://www.cosme.net/products/10156385/,2025-02-18 10:03,10156385,ÀÌ´Ï½ºÇÁ¸®,Super Volcanic Pore Clay Mask,Washing packs and masks,"1,387 reviews"
59,rom&nd,«í«à«¢«ó«É «Ç«å«¤«Õ«ë«¦«©?«¿?«Æ«£«ó«È,Ï¢ûõ,4.8,«¯«Á«³«ß1380Ëì,1320,2022/1/20 (2022/10/3õÚÊ¥??),https://www.cosme.net/products/10215373/,2025-02-18 10:03,10215373,·Ò¾Ø,Rom and Dewful Water Tint,lipstick,"1,380 reviews"
60,MISSHA£¨«ß«·«ã£©,M «¯«Ã«·«ç«ó «Õ«¡«ó«Ç?«·«ç«ó(«Þ«Ã«È),«ê«­«Ã«É«Õ«¡«ó«Ç?«·«ç«ó,4.4,«¯«Á«³«ß1344Ëì,1100,2015/4/21 (2018/8/31õÚÊ¥??),https://www.cosme.net/products/10094123/,2025-02-18 10:03,10094123,¹Ì»þ,M Cushion Foundation (Matt),Liquid foundation,"1,344 reviews"
61,SPICARE,V3 «¨«­«µ«¤«Æ«£«ó«° «Õ«¡«ó«Ç?«·«ç«ó,ª½ªÎöâ«Õ«¡«ó«Ç?«·«ç«ó,5.7,«¯«Á«³«ß1343Ëì,10285,2020/3/1 (2024/12/5õÚÊ¥??),https://www.cosme.net/products/10196513/,2025-02-18 10:03,10196513,SPICARE,V3 Exciting Foundation,Other foundations,"1,343 reviews"
62,TIRTIR,WATERISM GLOW TINT,«ê«Ã«×«±«¢?«ê«Ã«×«¯«ê?«à,4.9,«¯«Á«³«ß1332Ëì,1650,2024/5/15 (2024/11/15õÚÊ¥??),https://www.cosme.net/products/10256344/,2025-02-18 10:03,10256344,Æ¼¸£Æ¼¸£,WATERISM GLOW TINT,Lip care and lip balm,"1,332 reviews"
63,VT(«Ö«¤«Æ«£?),«×«íCICA «¯«ê«¢«¹«Ý«Ã«È«Ñ«Ã«Á,ª½ªÎöâ«¹«­«ó«±«¢,5,«¯«Á«³«ß1314Ëì,650,2021-07-28,https://www.cosme.net/products/10217763/,2025-02-18 10:03,10217763,ºêÀÌÆ¼ÄÚ½º¸ÞÆ½,Pro CICA Clear Spot Patch,Other skin care,"1,314 reviews"
64,dasique,«·«ã«É«¦«Ñ«ì«Ã«È,«Ñ«¦«À?«¢«¤«·«ã«É«¦,5.3,«¯«Á«³«ß1280Ëì,4180,2020/12/4 (2025/2/17õÚÊ¥??),https://www.cosme.net/products/10194412/,2025-02-18 10:03,10194412,dasique,Shadow Palette,Powder eyeshadow,"1,280 reviews"
65,TIRTIR,MASK FIT ALL-COVER DUAL CONCEALER,«³«ó«·?«é?,5.1,«¯«Á«³«ß1265Ëì,1815,2021-12-17,https://www.cosme.net/products/10219451/,2025-02-18 10:03,10219451,Æ¼¸£Æ¼¸£,MASK FIT ALL-COVER DUAL CONCEALER,Concealer,"1,265 reviews"
66,i¡¯m meme(«¢«¤«à«ß«ß),«¢«¤«à«¹«Æ«£«Ã«¯«·«ã«É«¦«·«Þ?,«Ú«ó«·«ë«¢«¤«é«¤«Ê?,5,«¯«Á«³«ß1264Ëì,1089,2021/4/20 (2023/9/1õÚÊ¥??),https://www.cosme.net/products/10205531/,2025-02-18 10:03,10205531,i'm meme,I'm Stick Shadow Shimmer,Pencil eyeliner,"1,264 reviews"
67,SOMEBYMI(«µ«à«Ð«¤«ß?),«ì«Á«Î?«ë«¤«ó«Æ«ó«¹«ê«¢«¯«Æ«£«Ù?«·«ç«ó«»«é«à,Ú¸é»äû,5.6,«¯«Á«³«ß1260Ëì,3078,2022-11-14,https://www.cosme.net/products/10231425/,2025-02-18 10:03,10231425,SOMEBYMI,Retinol Intense Reactivation Serum,Beauty fluid,"1,260 reviews"
68,VT(«Ö«¤«Æ«£?),CICA «««×«»«ë«Þ«¹«¯,á©ª¤×µª¹«Ñ«Ã«¯?«Þ«¹«¯,4.6,«¯«Á«³«ß1252Ëì,2980,-,https://www.cosme.net/products/10191030/,2025-02-18 10:03,10191030,ºêÀÌÆ¼ÄÚ½º¸ÞÆ½,CICA Capsule Mask,Washing packs and masks,"1,252 reviews"
69,CNP Laboratory(«·?«¨«Ì«Ô?«é«Ü«é«È«ê?),«×«íP «»«é«à,Ú¸é»äû,4.6,«¯«Á«³«ß1251Ëì,7590,2020/1/2 (2020/8/1õÚÊ¥??),https://www.cosme.net/products/10070207/,2025-02-18 10:03,10070207,CNP Laboratory,Pro P Serum,Beauty fluid,"1,251 reviews"
